Volume,Method,MethodLabel,Data,neural_num_epochs,neural_hidden_layers,neural_z_dimension,neural_batch_size
16.16174818537514,OT-CP+,OT-CP+,enb,5000,3,32,256
14.788180726929014,ELL,ELL,enb,5000,3,32,256
55.047510911083045,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",enb,5000,3,32,256
13.98235889557281,OT-CP+,OT-CP+,enb,5000,3,32,256
17.845216530168095,ELL,ELL,enb,5000,3,32,256
28.245725381839964,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",enb,5000,3,32,256
16.818166911250074,OT-CP+,OT-CP+,enb,5000,3,32,256
17.017741686674313,ELL,ELL,enb,5000,3,32,256
39.94630857427098,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",enb,5000,3,32,256
1188939967182746.5,OT-CP+,OT-CP+,atp1d,5000,3,32,256
1.1750544656379502e+16,ELL,ELL,atp1d,5000,3,32,256
6007777097469752.0,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",atp1d,5000,3,32,256
133778011052195.47,OT-CP+,OT-CP+,atp1d,5000,3,32,256
2.1482149473110483e+17,ELL,ELL,atp1d,5000,3,32,256
1.295599383865665e+16,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",atp1d,5000,3,32,256
72729851090710.0,OT-CP+,OT-CP+,atp1d,5000,3,32,256
4261505922925165.0,ELL,ELL,atp1d,5000,3,32,256
9090369873110902.0,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",atp1d,5000,3,32,256
756643871.9578304,OT-CP+,OT-CP+,jura,5000,3,32,256
1230637351168.7227,ELL,ELL,jura,5000,3,32,256
316325408573.08167,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",jura,5000,3,32,256
489293667.77059114,OT-CP+,OT-CP+,jura,5000,3,32,256
1978884723661.0503,ELL,ELL,jura,5000,3,32,256
130313606522.92162,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",jura,5000,3,32,256
5228935793.536464,OT-CP+,OT-CP+,jura,5000,3,32,256
6037236221856.578,ELL,ELL,jura,5000,3,32,256
568993171620.4539,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",jura,5000,3,32,256
