Worst Set Coverage,Method,MethodLabel,Data,neural_num_epochs,neural_hidden_layers,neural_z_dimension,neural_batch_size
0.6666666666666666,OT-CP+,OT-CP+,enb,5000,3,32,256
0.0,ELL,ELL,enb,5000,3,32,256
0.5,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",enb,5000,3,32,256
1.0,OT-CP+,OT-CP+,enb,5000,3,32,256
0.0,ELL,ELL,enb,5000,3,32,256
0.0,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",enb,5000,3,32,256
1.0,OT-CP+,OT-CP+,enb,5000,3,32,256
0.5,ELL,ELL,enb,5000,3,32,256
0.4,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",enb,5000,3,32,256
0.5,OT-CP+,OT-CP+,atp1d,5000,3,32,256
0.0,ELL,ELL,atp1d,5000,3,32,256
0.0,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",atp1d,5000,3,32,256
1.0,OT-CP+,OT-CP+,atp1d,5000,3,32,256
0.0,ELL,ELL,atp1d,5000,3,32,256
0.0,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",atp1d,5000,3,32,256
1.0,OT-CP+,OT-CP+,atp1d,5000,3,32,256
0.0,ELL,ELL,atp1d,5000,3,32,256
0.0,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",atp1d,5000,3,32,256
1.0,OT-CP+,OT-CP+,jura,5000,3,32,256
0.0,ELL,ELL,jura,5000,3,32,256
0.6,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",jura,5000,3,32,256
1.0,OT-CP+,OT-CP+,jura,5000,3,32,256
0.6666666666666666,ELL,ELL,jura,5000,3,32,256
0.0,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",jura,5000,3,32,256
1.0,OT-CP+,OT-CP+,jura,5000,3,32,256
0.0,ELL,ELL,jura,5000,3,32,256
0.0,NeuralOT-Score,"NeuralOT-Score(e5000,h3,z32,b256)",jura,5000,3,32,256
